编号文件,主题,子主题,原始文件名
paper_001.pdf,历史,高中历史教学,传统文化视域下的高中历史教学创新模式研究_马永雷.pdf
paper_002.pdf,历史,党史,中国共产党以自我革命引领社会革命的内涵、理据与策略_滕明政.pdf
paper_003.pdf,历史,党史,中国共产党自我革命意识的历史演进——基于三个“历史决议”的考察_朱欣婷.pdf
paper_004.pdf,历史,高中历史教学,人文精神与高中历史教学的融合路径探析_杨欣欣.pdf
paper_005.pdf,历史,军机大臣,军机大臣议复机制与清朝国家政治体制重构_刘文鹏.pdf
paper_006.pdf,历史,高中历史教学,高中历史教学中历史解释素养的培养实践_周陈育.pdf
paper_007.pdf,历史,党史,解码中国共产党自我革命的百年实践密码_李璠嫔.pdf
paper_008.pdf,历史,军机大臣,清代内阁大学士兼任军机大臣之论_刘洋.pdf
paper_009.pdf,历史,军机大臣,智谋深远、敏于时局的清末军机大臣曹毓瑛_石磊.pdf
paper_010.pdf,历史,高中历史教学,高中历史教学中家国情怀的培育_陈远见.pdf
paper_011.pdf,地理,高中地理教学,ChatGPT辅助中学地理教学——应用实践、挑战及展望_周莉莹.pdf
paper_012.pdf,地理,水环境,乐山市2023年水环境质量特征分析_王松.pdf
paper_013.pdf,地理,生态环境,探讨环境监测在生态环境保护中的作用_牟全朋.pdf
paper_014.pdf,地理,高中地理教学,文学赏析与地理教学的跨学科融合实践_陆凯.pdf
paper_015.pdf,地理,生态环境,长江经济带城镇化与生态环境耦合协调时空变化及影响因素分析_黄玲玲.pdf
paper_016.pdf,地理,水环境,水环境监测技术及水污染防治策略研究_武满满.pdf
paper_017.pdf,地理,水环境,生物质炭对水环境中硝酸盐氮吸附性能研究_赵云.pdf
paper_018.pdf,地理,生态环境,广州市城市化与生态环境变化耦合协调分析_罗婧.pdf
paper_019.pdf,地理,黄土高原,黄土高原地下啮齿类动物挖掘对土壤侵蚀的贡献_白晓亮.pdf
paper_020.pdf,地理,黄土高原,黄土高原植被抗旱性监测及影响因素分析_程西安.pdf
paper_021.pdf,心理学,大学生心理健康,人工智能在高职大学生心理健康评估和干预中的应用初探_吴海萍.pdf
paper_022.pdf,心理学,大学生心理健康,体育锻炼对大学生心理健康的积极影响研究_王雅琴.pdf
paper_023.pdf,心理学,心理干预,团体叙事心理干预对青少年抑郁症患者非自杀性自伤行为的影响_潘建波.pdf
paper_024.pdf,心理学,老年心理护理,基于“三教”改革的老年心理护理实务课程教学改革研究_梁淑双.pdf
paper_025.pdf,心理学,大学生心理健康,大学生心理健康水平和睡眠质量现状及其影响因素_袁婵.pdf
paper_026.pdf,心理学,大学生心理健康,大学生情绪管理能力对心理健康的保障研析_张本茹.pdf
paper_027.pdf,心理学,老年心理护理,心理护理在老年慢性阻塞性肺疾病及对患者焦虑抑郁情绪的影响_张俊.pdf
paper_028.pdf,心理学,大学生心理健康,恋爱矛盾与心理健康：高校辅导员的工作策略与案例分析_刘玥杉.pdf
paper_029.pdf,心理学,心理干预,聚焦解决模式的心理干预对急性白血病患者心理状态及睡眠质量的影响_蒋凤云.pdf
paper_030.pdf,心理学,大学生心理健康,青少年主观幸福感与心理健康的非线性关系及其阈值效应_王一鸣.pdf
paper_031.pdf,生命科学,人体代谢,以水为媒 破解人体代谢谜题_罗云鹏.pdf
paper_032.pdf,生命科学,水稻,实验室养“毒虫”，揭开水稻抗病毒秘密_葛家诺.pdf
paper_033.pdf,生命科学,高中生命科学教学,基于学科核心素养的高中生物实验教学探究_张颖.pdf
paper_034.pdf,生命科学,人体代谢,心血管代谢疾病患者肥胖状态与痴呆的关联研究_张小宇.pdf
paper_035.pdf,生命科学,水稻,水稻病毒致病机制的共性策略_亓庆玲.pdf
paper_036.pdf,生命科学,高中生命科学教学,生命文明教育与高中生物课堂结合的探索_马丹娜.pdf
paper_037.pdf,生命科学,水稻,水稻体内“抗病毒卫士”可增强抗病毒能力_蒋丰蔓.pdf
paper_038.pdf,生命科学,人体代谢,肠道微生物群在人体代谢健康中的机制与干预策略_江乔.pdf
paper_039.pdf,生命科学,高中生命科学教学,谈新高考模式对高中生物教学的影响及应对策略_王芳.pdf
paper_040.pdf,生命科学,人体代谢,罗汉果甜苷提取物对人体代谢的影响研究_欧珏平.pdf
paper_041.pdf,马克思主义,马克思主义中国化,马克思主义中国化进程中的红色文化价值研究_刘舒羽.pdf
paper_042.pdf,马克思主义,习近平新时代,习近平文化思想的提出背景、理论特质和实践意义_周雪梅.pdf
paper_043.pdf,马克思主义,马克思主义中国化,围绕“两个结合”不断开辟马克思主义中国化时代化新境界_卞庆功.pdf
paper_044.pdf,马克思主义,毛泽东思想,毛泽东发挥历史主动精神的方法论特质_彭冰冰.pdf
paper_045.pdf,马克思主义,马克思主义中国化,数字化转型背景下马克思主义中国化思想创新研究_李梁.pdf
paper_046.pdf,马克思主义,马克思主义,推进中国式现代化要继续把制造业搞好_郝思斯.pdf
paper_047.pdf,马克思主义,习近平新时代,论习近平文化思想生成的辩证逻辑_郑志康.pdf
paper_048.pdf,马克思主义,毛泽东思想,论毛泽东“决定的因素是人不是物”的思想及现实启示_罗新茂.pdf
paper_049.pdf,马克思主义,马克思主义,马克思主义民主哲学的辩证逻辑与实践路径_刘林.pdf
paper_050.pdf,马克思主义,马克思主义,高校马克思主义认同教育：内涵、问题及对策_张金鸽.pdf
